id,additions_api,deletions_api,changed_files_api,n_comments,dir_count_api
2314520710,8,1,2,1,2
2299074101,24,38,10,0,3
2281115522,20,26,8,0,3
2619835480,1,2,1,6,1
2384432881,271,82,8,11,6
2592583649,16,16,2,4,2
2505553879,40,40,2,2,1
2508713269,118,106,83,4,50
2275295938,69,20,1,0,1
2402876396,1,0,1,4,1
2455756605,4,3,2,6,2
2339125692,1,0,1,4,1
2408284525,1,0,1,3,1
2393227088,106,24,3,6,3
2412480421,11,2,4,5,2
2300905272,12,0,1,4,1
2381866275,16,6,6,15,2
2623780652,18,135,8,7,6
2288891195,67,19,3,14,2
2530195274,131,131,3,2,2
2619822262,165,0,5,5,5
2616703570,31,60,3,6,3
2308049885,18,11,1,1,1
2547183431,14,22,2,2,1
2510109308,16,17,2,2,2
2536529812,1133,59,43,34,18
2554539951,246,26,5,7,4
2450002517,12,12,2,3,2
2269537588,14,8,5,0,3
2363843773,63,24,10,8,6
2450049433,27,0,1,8,1
2381770824,811,943,7,8,7
2358984465,76,41,1,6,1
2493175235,500,50,12,5,3
2470839002,1,1,1,5,1
2498004615,36,2,5,37,4
2392513138,3,3,1,5,1
2430247745,1,1,1,2,1
2506076385,25,14,1,5,1
2301394522,1,0,1,1,1
2439164313,90,27,1,2,1
2481080889,62,148,28,7,16
2484776457,4,4,2,7,2
2436125658,13,1,1,6,1
2503386477,0,0,1,4,1
2317163562,30,0,5,18,5
2301198115,71,5,2,6,1
2301320371,107,1,1,2,1
2616632247,10,9,1,4,1
2620451372,3,8,4,9,2
2335610924,77,26,11,4,4
2506398763,32,5,4,11,4
2545018363,6,62,4,5,3
2465256167,133,3,11,5,7
2485128263,125,2,5,7,4
2439248961,10,3,1,6,1
2409026416,0,110,2,5,1
2620023691,784,147,5,16,1
2623742865,481,200,9,13,6
2477711038,211,11,3,8,1
2308027490,724,308,24,3,11
2518248768,7,7,2,4,2
2270094024,11,3,2,3,2
2477903510,122,120,2,4,2
2527349758,679,39,14,3,8
2389886924,178,2,6,5,4
2293576342,23,8,7,2,4
2390380420,18,32,4,8,4
2603501418,22,8,14,4,14
2568826862,20,17,7,2,3
2416636038,11,0,1,16,1
2592583988,81,81,3,2,3
2580496618,312,169,3,8,2
2583407441,13,0,1,5,1
2478701689,117,445,2,2,2
2553653689,191,191,4,2,4
2500257044,189,9,3,17,2
2303567242,49,77,18,0,4
2420965058,264,32,1,2,1
2553186372,77,77,2,2,2
2337649747,35,3,7,7,6
2301367182,159,1,3,1,2
2312086612,8,0,2,1,2
2619869381,2,12,1,5,1
2553387252,81,125,8,6,6
2460005899,107,123,2,2,2
2465883448,130,8,3,7,2
2589379033,2,0,1,5,1
2625750302,23,23,3,2,3
2610075867,350,119,1,3,1
2543990912,8,18,2,6,2
2610790192,1053,1017,50,4,25
2562537868,468,1552,25,15,14
2547862542,1,1,1,3,1
2424210775,6,1,1,5,1
2594282097,5,6,4,14,4
2474807158,33,33,4,3,4
2390046184,206,26,10,10,8
2611136448,1417,208,38,6,15
2580137342,249,284,8,7,4
2593064254,15,9,3,2,3
2389485618,28,0,2,6,2
2620327881,68,0,2,4,2
2601004530,251,180,53,15,43
